time	1	2	3	4	5	6	7	8	9	10
0.9	115.307	81.4662	90.3543	132.299	84.4365	122.138	70.3355	78.9542	99.8217	108.247
0.91	115.383	83.3103	90.381	132.82	82.2886	121.354	72.1386	79.114	100.821	108.28
0.92	115.293	84.5556	90.4115	130.281	81.1727	119.789	70.0231	79.2578	101.247	108.337
0.93	115.386	86.654	90.3985	131.003	82.1104	120.17	70.9072	79.2693	102.904	108.393
0.94	115.372	86.5691	90.4643	126.7	82.7927	122.275	71.9869	79.2792	103.916	107.948
0.95	115.648	85.0425	90.4396	122.367	83.0233	123.309	70.119	79.3082	103.986	107.845
0.96	115.701	82.3783	90.4933	128.22	83.7726	123.906	70.8916	79.3439	104.611	107.975
0.97	115.685	82.1202	90.5143	127.962	81.3494	122.364	72.7529	79.2311	104.405	108.08
0.98	115.437	81.9656	90.5424	125.475	79.4176	124.307	74.0447	79.3005	104.501	108.152
0.99	115.571	86.913	90.565	129.215	74.4935	123.135	72.4934	79.2479	104.971	108.429
